Month,Customer Accident Rate,Lost Time Injury Rate,Grade Crossing Incidents,Train Derailments,Train Collisions,Lost Time Accident Rate,Employee Lost Time Days
01/01/2019,0.96,2.47,0,0,0,0.27,1725
02/01/2019,0.94,2.45,0,0,0,0.23,890
03/01/2019,0.99,2.46,1,0,0,0.23,636
04/01/2019,1.01,2.37,0,0,0,0.18,1066
05/01/2019,0.96,2.2,0,0,0,0.14,449
06/01/2019,1,2.13,0,0,0,0.18,924
07/01/2019,1.06,2.12,0,0,0,0.15,548
08/01/2019,1.06,2.25,1,0,0,0.32,2173
09/01/2019,1,2.17,0,0,0,0.11,283
10/01/2019,1.03,2.09,0,0,0,0.17,1341
11/01/2019,0.98,2.13,0,0,0,0.26,1313
12/01/2019,0.99,1.99,0,0,0,0.06,280
01/01/2020,1.04,1.97,1,0,0,0.29,1093
02/01/2020,1.07,1.97,0,0,0,0.25,905
03/01/2020,1.01,1.92,0,0,0,0.18,1634
04/01/2020,1.01,1.81,0,0,0,0.08,430
05/01/2020,1.01,1.85,0,0,0,0.2,1245
06/01/2020,1.04,1.94,0,0,0,0.31,1485
07/01/2020,1.01,1.95,0,0,0,0.19,649
08/01/2020,1.02,1.92,0,0,0,0.28,1087
09/01/2020,1.15,2,0,0,0,0.19,363
10/01/2020,1.25,2.02,0,0,0,0.17,542
11/01/2020,1.33,1.89,0,0,0,0.1,280
12/01/2020,1.43,2.06,0,0,0,0.26,607
01/01/2021,1.79,1.93,0,0,0,0.13,645
02/01/2021,2.09,1.88,0,0,0,0.19,1608
03/01/2021,2.5,1.88,0,0,0,0.19,1724
04/01/2021,2.53,2,0,0,0,0.21,978
05/01/2021,2.45,1.96,0,0,0,0.15,871
06/01/2021,2.38,1.89,0,0,0,0.23,929
07/01/2021,2.16,1.91,0,0,0,0.21,649
08/01/2021,2.11,1.9,0,0,0,0.28,1216
09/01/2021,2.03,1.84,0,0,0,0.13,873
10/01/2021,2.01,1.9,0,0,0,0.23,939
11/01/2021,2.01,2.01,0,0,0,0.23,2291
12/01/2021,2.03,2,0,0,0,0.25,1859
01/01/2022,1.9,2.04,0,0,0,0.18,462
02/01/2022,1.94,2.07,0,0,0,0.22,1435
03/01/2022,2.07,2.08,0,0,0,0.2,1217
04/01/2022,2.01,2.07,0,0,0,0.18,667
05/01/2022,2.02,2.18,1,0,0,0.26,892
06/01/2022,2.01,2.14,0,0,0,0.18,781
07/01/2022,2.05,2.13,0,2,0,0.18,629
08/01/2022,2.19,2.13,0,0,0,0.28,1993
09/01/2022,2.27,2.21,0,0,0,0.23,1149
10/01/2022,2.43,2.21,1,0,0,0.23,644
11/01/2022,2.4,2.16,0,0,0,0.18,1848
12/01/2022,2.36,2.14,0,0,0,0.24,684
01/01/2023,2.32,2.11,2,0,0,0.14,669
02/01/2023,2.21,2.22,0,0,0,0.35,1816
03/01/2023,2.06,2.22,0,0,0,0.21,670
04/01/2023,2.04,2.18,0,0,0,0.13,741
05/01/2023,2.11,2.08,0,0,0,0.16,956
06/01/2023,2.12,2.06,2,0,0,0.16,409
07/01/2023,2.19,2.09,0,0,0,0.22,662
08/01/2023,2.07,2.01,0,0,0,0.17,315
